ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
1,0,59.9995632369,60.0039669931,84.8540444127,247.387658205,247.39800176,339.410904982,780.019928372,720.018812364,782.32598393,722.515585865,758.965429052,1021.79590887,1047.88411284,976.86895767,1035.90376658,989.681675721,1047.9909552,1021.90890671,759.068177891,722.638852783,1102.15872336,1060.54705124,1060.62777946,1017.30673058,1247.43857821,1247.7873446,1441.57695346,5346.45852829,5305.17976274,5303.24515327,5261.61929739,5482.49471576,5473.1332246,5685.79465021,6049.80608716,6011.65624607,6003.76578352,5965.32160905,6199.35692831,6160.97805609,6387.84518871,6076.92674569,6040.64854608,6029.38660614,5992.82929272,6234.06498946,6179.31768666,6413.5442622,6703.84788433,6660.79697095,6662.33379765,6619.01208627,6830.64925899,6838.15458199,7043.21465913,1559.69712418,1619.26643035,1568.12064149,1627.38936597,1608.91249478,1331.73013229,1309.08663749,2335.84816495,2276.04520506,2341.47827736,2281.83310459,2268.69252695,2580.24578919,2568.63327344,1788.07360716,1827.28104822,1742.59108738,1782.80618075,2013.27658726,1594.23901663,1848.37411705,2689.17855681,2745.21148408,2668.07685316,2724.54610513,2839.08356794,2443.91386212,2570.98532412
2,59.9995632369,0,84.8502239977,59.9922336482,240.011093743,305.949815316,384.194112045,720.020366213,660.01925027,722.516915305,662.741012286,702.304773998,961.905653768,989.577534707,989.669886232,1047.98343501,1005.9046493,1063.32402617,1020.1322065,780.105183416,720.128773072,1060.61543825,1017.30616024,1020.92216279,975.840878756,1198.93878913,1214.21543049,1399.81768591,5344.15183599,5303.36603927,5300.47246879,5259.33990871,5482.46943319,5468.46503197,5683.38699471,6040.58383911,6001.98049531,5994.92467413,5956.02549668,6188.22338339,6153.90382975,6378.89901036,6081.14838113,6045.34375278,6033.24863677,5997.16667962,6240.13426512,6181.33295692,6417.33302921,6701.19860164,6657.77454323,6660.07485356,6616.38011566,6826.11443558,6837.34061381,7040.50036199,1546.10156798,1605.36610546,1556.75704342,1615.63824073,1586.47917689,1322.26677234,1286.47500581,2319.52109857,2259.86120161,2326.63432033,2267.17181391,2246.48556503,2564.75728187,2546.49062713,1808.42277008,1849.01508399,1764.20201252,1805.79552322,2030.46512649,1609.51045862,1858.06869151,2689.88312919,2745.42830085,2667.5285948,2723.5321537,2844.01936185,2445.44150941,2578.95513765
3,60.0039669931,84.8502239977,0,60.0023146992,305.9468938,240.005367266,384.187349301,782.328186296,722.518758443,780.025163384,720.023644749,780.023308701,1020.03641827,1063.23633626,917.957747106,976.867111293,931.58087166,989.675607114,962.015316291,702.396347265,662.861493025,1060.5394035,1020.75951856,1017.31040334,975.757620029,1213.79362508,1199.23321073,1399.76196295,5286.51314095,5245.21461016,5243.32246538,5201.67295195,5422.49175988,5413.33925908,5625.85287203,5990.56748627,5952.49318375,5944.4671744,5906.09578921,6140.45792399,6101.43108886,6328.55978258,6017.05318924,5980.80822455,5969.4901323,5932.96327444,6174.3438455,6119.33895594,6353.64440845,6643.91517308,6600.88381174,6602.38332491,6559.07870515,6770.83848126,6778.160241,6983.28449052,1501.58952644,1561.22531522,1509.47695067,1568.82071834,1553.83145392,1272.7471559,1254.22428769,2278.3767584,2218.53820791,2283.5798642,2223.8915587,2213.3430764,2522.50314614,2513.20931062,1731.42451702,1771.152719,1686.40545066,1727.17651877,1955.61904781,1536.01108181,1789.03355505,2629.17460522,2685.20910468,2608.08548671,2664.56582979,2779.23819688,2383.91534704,2511.43638823
4,84.8540444127,59.9922336482,60.0023146992,0,300.003327391,300.007681957,424.264949302,722.517211873,662.742407248,720.022848691,660.021330053,725.003465373,960.034103579,1005.81441033,931.581051719,989.680117429,948.810256156,1005.91043102,960.139972984,725.091878658,660.13653965,1017.30471721,975.763376782,975.851099247,932.452731683,1163.89744123,1164.27055072,1356.72293033,5284.19199847,5243.3918884,5240.52977012,5199.37900366,5422.47802477,5408.63103928,5623.43125895,5981.26516046,5942.73233098,5935.54902776,5896.71756321,6129.22849625,6094.29915471,6319.54095336,6021.32878361,5985.56236702,5973.40285821,5937.3563805,6180.4837985,6121.38587449,6357.48083554,6641.25366163,6597.84559747,6600.11556284,6556.43435641,6766.27514177,6777.35083886,6980.55856218,1487.47410666,1546.8146016,1497.67980533,1556.63881665,1530.60120631,1262.85343861,1230.61521705,2261.64560119,2201.94235985,2268.36796938,2208.85664965,2190.58517823,2506.66870406,2490.58404133,1752.44378438,1793.57915637,1708.73926087,1750.90851022,1973.32210599,1551.86794803,1799.06020675,2629.90721228,2685.44269999,2607.53651974,2663.54092419,2784.29217938,2385.49342954,2519.60675253
5,247.387658205,240.011093743,305.9468938,300.003327391,0,424.282263101,300.007869735,758.961064741,702.294068745,780.017088406,724.996952135,660.014803895,1005.81046941,960.02440841,1223.90463959,1282.7968242,1237.0693331,1295.35907278,1260.14329977,1005.90787103,960.139866109,1247.78023403,1199.23430299,1214.22177509,1164.26600698,1356.72470799,1421.82200433,1583.27018331,5584.04024355,5543.30867384,5540.29606473,5499.23246232,5722.47740495,5707.87619214,5923.25942177,6278.02810333,6239.156846,6232.58693814,6193.43057913,6424.42894652,6392.43680915,6616.48720491,6320.50163779,6284.55160695,6272.7018818,6236.48496378,6478.84131519,6421.17189815,6656.80916866,6941.02861322,6897.54339101,6899.95984027,6856.21336304,7065.53952115,7077.34227681,7280.3179452,1781.56159143,1840.5414861,1793.71500422,1852.31528576,1812.6626141,1560.40490186,1513.12134639,2552.04158117,2492.55829728,2560.53787189,2501.2667952,2472.04563838,2797.95588372,2771.86521637,2034.66792372,2073.33715661,1988.7245782,2028.27711934,2260.55503951,1841.62330102,2094.70342274,2929.83565507,2985.41554261,2907.5391222,2963.53963011,3083.0731316,2685.2957292,2816.66344966
6,247.39800176,305.949815316,240.005367266,300.007681957,424.282263101,0,300.008097274,1021.79284831,961.901975459,1020.03053055,960.029011946,1005.81434158,1260.04178545,1295.26270114,902.139737055,962.016781968,900.138023876,960.136857529,1005.92587577,660.12865259,725.122803661,1247.42724822,1213.78952091,1198.93804572,1163.88764163,1421.20921612,1356.71930654,1582.99288063,5302.57673753,5259.34431988,5261.32091864,5217.73845857,5429.17741878,5438.75008456,5641.90902011,6033.598053,5997.37846786,5986.01910342,5949.50999549,6190.98458434,6135.74130261,6370.15643856,6005.91350132,5967.78528924,5959.85304568,5921.43703703,6155.5700669,6117.02838958,6343.94874554,6659.95382029,6618.45986708,6616.88509239,6575.11853673,6794.35724246,6786.6991646,6999.31842002,1579.72349739,1639.68526765,1578.73748216,1638.74398543,1665.228741,1338.73895179,1371.03134914,2359.41071232,2299.42120793,2358.74780107,2298.75126684,2317.70637241,2598.75646128,2615.53914573,1666.40660377,1699.76433619,1616.36985028,1650.74699778,1902.16189352,1495.14780529,1768.82014189,2639.91057181,2697.64881195,2624.03173872,2682.11361782,2771.9439734,2392.68234987,2492.96503072
7,339.410904982,384.194112045,384.187349301,424.264949302,300.007869735,300.008097274,0,1047.87653894,989.564898378,1063.22643445,1005.80441328,960.022673615,1295.25635442,1260.03227813,1201.64805773,1261.57855765,1200.14612058,1260.14495426,1295.36965259,960.13674904,1005.92834287,1441.56950763,1399.76228542,1399.82243414,1356.71749696,1582.99750926,1583.26963006,1780.98778337,5601.44490394,5558.40439594,5559.97034128,5516.59805067,5728.82998744,5736.4282561,5940.80872218,6327.91121174,6291.23275313,6280.67455654,6243.7187306,6483.37778515,6431.96234955,6664.85200544,6305.82182293,6267.6266768,6259.80401816,6221.33514066,6455.08328113,6417.02206979,6643.89087082,6958.92739196,6917.26871286,6916.0064946,6874.08690071,7092.44093917,7086.29901128,7298.31149472,1859.27860505,1919.2534971,1861.93153928,1921.83199227,1927.69301929,1622.43421,1629.3724448,2639.07360237,2579.07914213,2640.94064417,2580.99982082,2585.36707698,2880.75021418,2884.66454244,1961.05450586,1992.73912549,1909.94659627,1942.47322228,2198.71340531,1794.08957243,2068.79201118,2938.82154061,2996.40323082,2922.34471368,2980.24661729,3071.92950279,2691.68718926,2792.86004295
8,780.019928372,720.020366213,782.328186296,722.517211873,758.961064741,1021.79284831,1047.87653894,0,60.0011161144,60.0042999156,84.8534220836,247.387078763,247.399124013,339.420119814,1357.73433636,1400.81122548,1400.80445962,1442.59044058,1248.61967464,1248.58637404,1018.31291397,780.08568682,720.08998206,782.501081549,722.699233635,758.586142491,1021.93645411,1047.61835942,5369.09458473,5334.59726784,5320.27457733,5285.45111061,5533.29306207,5463.91232908,5704.00237686,5976.11294513,5932.29662689,5935.43695369,5891.31814442,6099.37676908,6114.60901581,6315.31190909,6177.3508947,6147.39797591,6125.55992326,6095.36072361,6356.98146169,6250.69543767,6506.07344222,6711.43911824,6663.81357862,6675.25060646,6627.36429823,6812.9438847,6868.71294938,7047.94503305,1563.89615514,1612.87807844,1599.82033801,1647.73842032,1489.54285205,1417.3892885,1229.9129902,2242.83525063,2188.21444846,2268.02804954,2214.03815965,2098.96641079,2486.76922651,2384.89479049,2170.42926644,2222.56986693,2141.01762385,2193.86162277,2349.2703031,1933.83700115,2108.50017236,2800.59750209,2848.52115299,2764.59620264,2813.13703634,2997.91600061,2575.29462204,2775.9522972
9,720.018812364,660.01925027,722.518758443,662.742407248,702.294068745,961.901975459,989.564898378,60.0011161144,0,84.8601313111,60.0042742726,239.997244941,305.95577903,384.195459017,1315.99772157,1360.39682515,1357.74062386,1400.81196073,1215.01441624,1200.07197461,976.815230278,782.28453803,722.471716977,780.092081922,720.089671262,779.544766575,1020.0936987,1062.89350852,5363.334152,5328.29110016,5314.90731422,5279.53527,5525.49755266,5460.67129917,5698.81810549,5978.20507333,5934.80365427,5937.08711482,5893.38292524,6103.59099512,6114.66011504,6317.50603201,6166.18528226,6135.73629762,6114.68745939,6083.98900152,6344.21035462,6241.77748837,6495.68143034,6707.63933053,6660.34257549,6671.02408032,6623.46514668,6811.14021089,6863.22393964,7044.51901574,1549.70020071,1599.92900832,1583.82730654,1633.01081528,1484.58641866,1395.59491912,1218.58745858,2240.50952287,2185.23609858,2264.24566592,2209.57551728,2102.25963764,2485.41152666,2390.51226434,2133.34158187,2184.83051023,2102.79361543,2155.0170056,2315.84329231,1898.51816761,2079.28071539,2784.44106874,2833.09674376,2749.44968807,2798.71746227,2978.75856554,2556.99675383,2752.89371729
10,782.32598393,722.516915305,780.025163384,720.022848691,780.017088406,1020.03053055,1063.22643445,60.0042999156,84.8601313111,0,60.0015187415,305.946413621,240.011254902,384.198218488,1315.98617706,1357.73650392,1360.37880336,1400.80125563,1200.09492097,1214.96850848,976.801366815,720.081497153,660.085810969,722.697343172,662.931752346,701.880423824,962.047467549,989.28494546,5309.40443193,5274.96624331,5260.54549284,5225.77781712,5473.84682737,5404.01578152,5644.25360471,5916.13551391,5872.33305749,5875.44782165,5831.33977202,6039.50164779,6054.60523445,6255.33813513,6118.46034581,6088.60715208,6066.61323149,6036.51184609,6298.42627051,6191.40822246,6447.03350054,6651.57439479,6603.9273433,6615.41681352,6567.50672933,6752.97571126,6808.98761203,6988.05500757,1505.94971648,1554.5975435,1542.38172369,1589.91882968,1429.8690525,1362.1202508,1171.34659697,2182.91500337,2128.33425191,2208.20339301,2154.2727549,2039.01292556,2426.80210122,2325.09309763,2124.00427558,2176.66043247,2095.54377295,2148.90154096,2300.05240045,1886.12376446,2056.67964165,2743.03204029,2790.74093202,2706.74491128,2755.08608633,2941.30454544,2518.4282602,2720.89365912
11,722.515585865,662.741012286,720.023644749,660.021330053,724.996952135,960.029011946,1005.80441328,84.8534220836,60.0042742726,60.0015187415,0,300.001519203,300.012773531,424.273541885,1272.8809146,1315.99946015,1315.99226343,1357.73701875,1165.09041921,1165.0544864,933.459492437,722.462645643,662.682855135,720.08791638,660.085525814,724.481137922,960.089487413,1005.44655974,5303.57910056,5268.58863033,5255.11716141,5219.79427731,5465.96645752,5400.73875831,5639.01434312,5918.24883624,5874.8656679,5877.11481488,5833.42577355,6043.75763116,6054.65681916,6257.55328212,6107.18696923,6076.83255229,6055.63483852,6025.02895377,6285.53608398,6182.40467253,6436.54607818,6647.74034617,6600.42480658,6611.15198958,6563.57197482,6751.1559874,6803.45036279,6984.59957539,1491.20196037,1541.1586188,1525.78647611,1574.65027621,1424.7048255,1339.42653609,1159.44882836,2180.52524555,2125.27185921,2204.31822952,2149.68590876,2042.40273464,2425.41073234,2330.85464322,2086.09101232,2138.11051728,2056.47432569,2109.22869499,2265.89909843,1849.89381879,2026.71289695,2726.53432622,2774.99519492,2691.27264387,2740.36089177,2921.77574088,2499.71395057,2697.36420808
12,758.965429052,702.304773998,780.023308701,725.003465373,660.014803895,1005.81434158,960.022673615,247.387078763,239.997244941,305.946413621,300.001519203,0,424.27501401,300.009604521,1500.10620249,1548.53117649,1536.85652291,1584.15328463,1422.50639856,1357.73264622,1165.08901857,1021.76589628,961.875343908,1020.08902705,960.086569586,1005.44895253,1260.09075753,1294.98226265,5602.38830255,5567.14660477,5554.0947349,5518.53705547,5763.70097463,5700.39696493,5938.05422143,6218.01925407,6174.54841232,6176.96252145,6133.20071546,6342.93656823,6354.65360322,6557.30641571,6402.346873,6371.53809101,6351.05765524,6320.00713708,6579.12894511,6479.36614901,6732.35786274,6947.23391371,6900.00912605,6910.51589013,6863.03772692,7051.06079907,7102.33780644,7284.1911817,1784.67492579,1835.79038478,1817.24822109,1867.47666498,1724.1785501,1622.99900945,1455.83162293,2480.43657715,2425.09318681,2503.97261512,2449.17054523,2341.74254784,2725.39643502,2629.28026164,2328.21297804,2377.66737942,2294.40793567,2344.58053338,2519.99857259,2098.89927511,2293.18973064,3016.86990221,3066.21777333,2982.86369987,3032.76856103,3207.77444255,2787.25566247,2976.73217994
13,1021.79590887,961.905653768,1020.03641827,960.034103579,1005.81046941,1260.04178545,1295.25635442,247.399124013,305.95577903,240.011254902,300.012773531,424.27501401,0,300.004978739,1500.08015138,1536.83811328,1548.50126758,1584.13061157,1357.73395865,1422.4531459,1165.05508067,759.478457035,702.851309193,780.628754892,725.651015946,660.086602513,1006.29402981,960.087283033,5339.40608653,5307.20493657,5289.03132428,5256.51428296,5511.80825891,5423.76281505,5671.530567,5913.78208717,5868.34627165,5874.92290462,5829.18421116,6028.43890341,6060.35900807,6252.24704697,6169.20334945,6141.36178836,6116.23585857,6088.16012436,6355.40985104,6233.0879855,6494.37677343,6672.30333131,6623.37363533,6637.89150805,6588.70557377,6765.58988465,6836.37695189,7007.01640249,1586.42604142,1629.49306879,1629.31540983,1671.27985384,1474.97342887,1473.99352981,1247.00612388,2208.82483584,2157.31057192,2239.8249863,2189.04914183,2043.11160569,2447.13302507,2317.506498,2285.15684443,2339.92777306,2261.02723008,2316.37214758,2446.64911967,2042.29105873,2188.94271441,2820.86277292,2865.46395496,2780.76350117,2826.00184222,3030.0784885,2605.8046859,2825.83017609
14,1047.88411284,989.577534707,1063.23633626,1005.81441033,960.02440841,1295.26270114,1260.03227813,339.420119814,384.195459017,384.198218488,424.273541885,300.009604521,300.004978739,0,1697.15445472,1740.10517315,1740.10003063,1782.01055919,1584.15030674,1584.12653544,1357.73303167,1048.26791197,989.97978495,1063.69201587,1006.2935642,960.091100864,1295.64295399,1260.09200657,5636.31916241,5603.70875131,5586.19702108,5553.28494205,5807.19575255,5722.21850331,5968.94459351,6213.77136831,6168.34915265,6174.88039613,6129.16997591,6328.34557209,6360.09010163,6552.2463217,6461.53361701,6433.11446692,6408.86846254,6380.22282599,6645.91918309,6527.7469376,6787.67140107,6970.7447205,6921.96788747,6936.10447032,6887.08161418,7064.88519095,7133.88799085,7305.69190192,1864.97620766,1910.55279965,1905.00461738,1949.6485933,1765.94540087,1735.72011818,1526.48435628,2505.35358889,2453.22217737,2535.28892786,2483.79476859,2342.36392168,2744.74855417,2617.45769689,2508.13561674,2560.67371412,2479.40864778,2532.5469187,2683.68969851,2270.29218361,2437.75093213,3102.38528163,3148.33136447,3063.85155319,3110.37096606,3306.72524149,2882.78572549,3093.62039434
15,976.86895767,989.669886232,917.957747106,931.581051719,1223.90463959,902.139737055,1201.64805773,1357.73433636,1315.99772157,1315.98617706,1272.8809146,1500.10620249,1500.08015138,1697.15445472,0,60.0020786433,60.0072791543,84.8561052576,247.388753691,247.397895843,339.421423708,975.324820062,988.1685372,916.426102545,930.075451303,1222.37665626,900.556455866,1200.06291469,4400.72438834,4357.32899699,4359.71254442,4315.89657061,4527.1871257,4538.65178542,4740.01985542,5140.8574956,5105.80095911,5092.45407397,5057.06214637,5303.08408531,5238.49438073,5476.36776981,5108.36562325,5071.03780892,5061.69885006,5024.03305602,5261.7327152,5216.58266731,5445.88614689,5757.98845077,5716.64154218,5714.82041857,5673.15808399,5893.47406554,5884.65174741,6097.33525187,787.534734674,842.563069153,764.758889574,821.32448147,960.892999038,545.928263685,739.445989675,1532.32805883,1473.73676903,1520.74428196,1461.69896287,1544.44336692,1757.58987525,1826.9829985,833.551086587,880.257908117,796.178290748,844.959127726,1044.26555078,621.050929745,873.063176597,1738.15359375,1796.10914853,1723.32190085,1781.76166794,1871.73284392,1490.83626191,1597.28102233
16,1035.90376658,1047.98343501,976.867111293,989.680117429,1282.7968242,962.016781968,1261.57855765,1400.81122548,1360.39682515,1357.73650392,1315.99946015,1548.53117649,1536.83811328,1740.10517315,60.0020786433,0,84.8572499686,60.0027371481,240.008097348,305.953788214,384.202099682,988.167336237,1004.43664959,930.08180834,947.341683902,1235.56572108,898.56333755,1198.56897001,4340.9930789,4297.54618356,4300.04162749,4256.16848004,4467.2514743,4479.24753644,4680.27698099,5082.36231914,5047.43631827,5033.86735852,4998.60266889,5245.10670003,5179.46719755,5417.74434944,5048.41913741,5011.11788962,5001.73477027,4964.09147261,5201.92592642,5156.58059143,5385.9233664,5698.22006156,5656.91520735,5655.01500442,5613.39142477,5833.93263165,5824.72946712,6037.56047555,746.696640984,800.338915785,720.835266895,776.276638695,929.697244062,509.55470433,722.065704504,1482.59063432,1424.31090735,1469.73175289,1410.93117252,1500.81920767,1705.78679652,1780.85464845,781.447727835,829.523652102,745.968368705,796.194789346,988.374533323,564.504424578,813.402452462,1678.47819257,1736.4917114,1663.89526197,1722.40172274,1811.73594613,1431.14030723,1537.49362332
17,989.681675721,1005.9046493,931.58087166,948.810256156,1237.0693331,900.138023876,1200.14612058,1400.80445962,1357.74062386,1360.37880336,1315.99226343,1536.85652291,1548.50126758,1740.10003063,60.0072791543,84.8572499686,0,59.9988336936,305.951245528,240.009371706,384.202255448,1034.35976385,1046.4795181,975.334800115,988.170573423,1281.26940181,960.439022186,1259.99889995,4406.78185337,4362.82572193,4366.37000021,4321.9946113,4530.38471706,4547.43112305,4745.9294072,5154.47434945,5119.97415776,5105.66937782,5070.83729111,5318.76950438,5249.53570056,5489.39891047,5106.14718197,5068.26844223,5059.92857451,5021.70998809,5257.25997596,5216.94282372,5444.05389462,5763.55876716,5722.66645719,5719.95909159,5678.75200719,5901.15527395,5888.03163126,6102.81761894,831.389074455,885.159267811,805.69006513,861.076526879,1011.81756355,593.234444021,796.398452698,1566.1414512,1508.00240111,1552.64817972,1493.99427291,1585.66736078,1788.17428758,1865.44699281,806.458301792,850.70864354,766.073695501,812.532526742,1024.56490757,604.597128376,868.943138735,1745.31652316,1803.76234281,1732.48571695,1791.35172789,1871.91585484,1497.95523465,1593.42474041
18,1047.9909552,1063.32402617,989.675607114,1005.91043102,1295.35907278,960.136857529,1260.14495426,1442.59044058,1400.81196073,1400.80125563,1357.73701875,1584.15328463,1584.13061157,1782.01055919,84.8561052576,60.0027371481,59.9988336936,0,300.010834232,300.008205396,424.277528722,1046.47305751,1061.84955467,988.171769164,1004.43353092,1293.85324936,958.566074176,1258.57170675,4347.13654889,4303.1220931,4306.79404633,4262.35474202,4470.49494043,4488.14562128,4686.26465565,5096.13759666,5061.77501565,5047.23822195,5012.54057897,5260.96691537,5190.63642907,5430.91833017,5046.17776493,5008.31885422,4999.94665328,4961.74377128,5197.40530837,5156.94816487,5384.07410141,5703.85155906,5663.00644042,5660.21081953,5619.04765749,5841.69476816,5828.14709009,6043.09988994,792.811847765,845.065008177,764.121960297,818.219428949,982.238199508,559.940473068,780.284346513,1517.51271382,1459.73718662,1502.71932026,1444.36227025,1543.208113,1737.28382991,1820.29311876,752.486509163,798.103480873,713.754505023,761.700479833,967.541244055,546.354949066,808.982264976,1685.89736756,1744.40912249,1673.38705024,1732.32289841,1811.92827384,1438.55741272,1533.49057727
19,1021.90890671,1020.1322065,962.015316291,960.139972984,1260.14329977,1005.92587577,1295.36965259,1248.61967464,1215.01441624,1200.09492097,1165.09041921,1422.50639856,1357.73395865,1584.15030674,247.388753691,240.008097348,305.951245528,300.010834232,0,424.274295319,300.003433873,757.593936579,778.692867263,700.946016932,723.691708685,1004.432812,658.555240363,958.560872692,4324.69013568,4283.60825414,4281.36812572,4239.85842774,4462.35470068,4451.597448,4664.00037298,5034.06604385,4996.9050909,4987.27448909,4949.76237086,5188.14973803,5141.57980301,5371.4571153,5064.51344527,5029.48674663,5016.08841783,4980.72977459,5226.88650572,5162.11430099,5400.01033633,5682.00338649,5638.89812453,5640.59560116,5597.17066067,5809.00673054,5817.25642503,6021.35932238,587.886061399,646.690438452,578.378643605,638.068826922,731.129483743,340.76212189,493.495782885,1360.53921342,1300.78653225,1356.45413768,1296.52365247,1344.76454683,1596.24760879,1635.67364367,927.57514445,982.195616749,903.656904576,959.643026546,1100.87513143,686.543491742,873.128787598,1670.19030166,1725.47317438,1647.40090131,1703.42605029,1830.76366482,1426.56959837,1576.4330933
20,759.068177891,780.105183416,702.396347265,725.091878658,1005.90787103,660.12865259,960.13674904,1248.58637404,1200.07197461,1214.96850848,1165.0544864,1357.73264622,1422.4531459,1584.12653544,247.397895843,305.953788214,240.009371706,300.008205396,424.274295319,0,300.01102442,1020.32840467,1018.5726317,960.442253168,958.566688276,1258.57906698,1004.40025977,1293.82123528,4645.46778691,4601.73072936,4604.79724911,4560.66191598,4769.98508097,4784.76442882,4984.68228846,5388.19943112,5353.18108926,5339.75477794,5304.41676604,5550.45882514,5485.3843976,5723.64860562,5346.04556964,5308.09206218,5299.8741878,5261.59641415,5496.72428157,5456.93638014,5683.99119008,6002.4594562,5961.38819959,5959.01625772,5917.64267132,6139.11559554,6127.60599562,6341.75530497,1006.90230055,1064.43055172,991.04472274,1049.45221513,1154.00167404,759.942851763,898.823725703,1767.66807618,1708.52529895,1758.68016223,1699.23483022,1765.72057002,1996.81177151,2053.68713211,1029.05667724,1068.96057993,984.168474113,1025.82698974,1255.45019542,840.056422497,1108.84181288,1983.35578584,2041.56624259,1969.43825991,2028.04983999,2111.88655732,1735.9735234,1833.21784503
